,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal']"
train_size,27984
test_size,6996
num_epochs,1000
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,5
xyz_centroid,[1408.08523156  112.10726701 1067.8832733 ]
xyz_max-min,3010.7
xyzh_centroid,[ 0.02204403 -0.89817896  0.        ]
xyzh_max-min,360.0
criterion,ScaledWeightedMSELoss()
training_time_in_seconds,877
final_training_loss,0.001492812979823695
final_test_loss,0.003380797486038737
training_losses_summary,"[[1.50868549e+08 1.50868549e+08 1.50868549e+08 1.50868549e+08 1.50868549e+08]
 [3.95354213e-03 3.95354213e-03 3.95354213e-03 3.95354213e-03 3.95354213e-03]
 [3.40538311e-03 3.40538311e-03 3.40538311e-03 3.40538311e-03 3.40538311e-03]
 [3.04926849e-03 3.04926849e-03 3.04926849e-03 3.04926849e-03 3.04926849e-03]
 [2.81950478e-03 2.81950478e-03 2.81950478e-03 2.81950478e-03 2.81950478e-03]
 [2.53637793e-03 2.53637793e-03 2.53637793e-03 2.53637793e-03 2.53637793e-03]
 [2.21503354e-03 2.21503354e-03 2.21503354e-03 2.21503354e-03 2.21503354e-03]
 [1.98428311e-03 1.98428311e-03 1.98428311e-03 1.98428311e-03 1.98428311e-03]
 [1.81200460e-03 1.81200460e-03 1.81200460e-03 1.81200460e-03 1.81200460e-03]
 [1.71603918e-03 1.71603918e-03 1.71603918e-03 1.71603918e-03 1.71603918e-03]]"
test_losses_summary,"[[53872207.18582047 53872207.18582047 53872207.18582047 53872207.18582047 53872207.18582047]
 [       0.0040626         0.0040626         0.0040626         0.0040626         0.0040626 ]
 [       0.00353521        0.00353521        0.00353521        0.00353521        0.00353521]
 [       0.00321963        0.00321963        0.00321963        0.00321963        0.00321963]
 [       0.00313122        0.00313122        0.00313122        0.00313122        0.00313122]
 [       0.00310474        0.00310474        0.00310474        0.00310474        0.00310474]
 [       0.00309657        0.00309657        0.00309657        0.00309657        0.00309657]
 [       0.00329926        0.00329926        0.00329926        0.00329926        0.00329926]
 [       0.00321161        0.00321161        0.00321161        0.00321161        0.00321161]
 [       0.00333863        0.00333863        0.00333863        0.00333863        0.00333863]]"
