,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' tree' ' sky']
train_size,16985
test_size,4247
num_epochs,50
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,4
xyz_centroid,[1405.75168128   61.76370485 1065.28489355]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.23473534  37.42628072 -15.13309896]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,84
final_training_loss,0.029223955699295017
final_test_loss,0.03143341677521702
training_losses_summary,"[[0.44028839 0.39028281 0.26897655 0.27167549]
 [0.11351621 0.06356757 0.0731925  0.08618978]
 [0.0825288  0.0406142  0.05414714 0.06026824]
 [0.07200973 0.0299204  0.04738946 0.05075975]
 [0.06603522 0.02301899 0.04310413 0.04438137]
 [0.06188556 0.01878962 0.03963526 0.03965387]
 [0.05831872 0.01579527 0.03640466 0.0361602 ]
 [0.05547105 0.01365137 0.03354427 0.03361375]
 [0.0532781  0.01201756 0.03122807 0.03186425]
 [0.05145971 0.0108776  0.02936013 0.03039744]]"
test_losses_summary,"[[0.37450772 0.07363717 0.0995713  0.25588716]
 [0.1227102  0.06710483 0.07570427 0.09430033]
 [0.09140504 0.04743717 0.05919151 0.06694236]
 [0.07837683 0.03382143 0.0511615  0.05690628]
 [0.07226169 0.02727887 0.04646987 0.05069238]
 [0.07101776 0.02244451 0.04305981 0.04716726]
 [0.06521746 0.01918403 0.04065097 0.04320511]
 [0.06180454 0.01687893 0.03811539 0.039331  ]
 [0.06333511 0.01554109 0.03722396 0.03894523]
 [0.05970817 0.01374147 0.03369396 0.03619107]
 [0.05818792 0.01264892 0.0327572  0.03536773]
 [0.05481111 0.01176127 0.03011492 0.0334891 ]
 [0.05322048 0.0112514  0.02868808 0.03257371]]"
training_losses_history,"[[0.44028839 0.39028281 0.26897655 0.27167549]
 [0.3056947  0.07179712 0.10085539 0.21053778]
 [0.17884801 0.07409725 0.08499463 0.14270839]
 [0.14311844 0.07253237 0.07679592 0.11530237]
 [0.12710976 0.06833503 0.07495181 0.09839741]
 [0.11351621 0.06356757 0.0731925  0.08618978]
 [0.10306997 0.0590567  0.06994939 0.0778254 ]
 [0.09595907 0.05441751 0.06521612 0.07148253]
 [0.0904598  0.04940167 0.06026319 0.06663781]
 [0.08592628 0.04456856 0.05649185 0.06303153]
 [0.0825288  0.0406142  0.05414714 0.06026824]
 [0.0799433  0.03764818 0.05235726 0.05798943]
 [0.07702226 0.03532257 0.05085958 0.05570072]
 [0.07504093 0.03337274 0.04963067 0.05378106]
 [0.07352085 0.03157973 0.04852152 0.05259092]
 [0.07200973 0.0299204  0.04738946 0.05075975]
 [0.07041342 0.02822112 0.04646739 0.04956212]
 [0.0694188  0.02677766 0.04552318 0.04823379]
 [0.06848534 0.02544506 0.0447722  0.04679633]
 [0.06748187 0.02411732 0.0438666  0.04572419]
 [0.06603522 0.02301899 0.04310413 0.04438137]
 [0.06553999 0.0220555  0.04238332 0.04361946]
 [0.06430815 0.02110777 0.04154947 0.04242122]
 [0.06347759 0.02021912 0.04097169 0.04125969]
 [0.0627996  0.01951377 0.04024448 0.04039923]
 [0.06188556 0.01878962 0.03963526 0.03965387]
 [0.06128752 0.01807523 0.03893479 0.03871586]
 [0.06064612 0.01749443 0.03826621 0.03803211]
 [0.05986162 0.01689518 0.03767874 0.03747339]
 [0.05889122 0.01634823 0.03711116 0.03661429]
 [0.05831872 0.01579527 0.03640466 0.0361602 ]
 [0.05785648 0.0152417  0.03583576 0.0356562 ]
 [0.05749447 0.01489856 0.03531543 0.03512275]
 [0.05701015 0.01449028 0.03476973 0.03474567]
 [0.05602957 0.01397363 0.03411589 0.03416808]
 [0.05547105 0.01365137 0.03354427 0.03361375]
 [0.05519651 0.01319076 0.03311449 0.03317123]
 [0.05437625 0.01298624 0.03256464 0.03274795]
 [0.05457499 0.01269114 0.0321777  0.03268455]
 [0.05320227 0.01229699 0.03170145 0.03184076]
 [0.0532781  0.01201756 0.03122807 0.03186425]
 [0.05253445 0.01172911 0.03081205 0.03135146]
 [0.05190089 0.01153403 0.03042257 0.03096587]
 [0.05158639 0.01130488 0.02996337 0.03079419]
 [0.05117474 0.01102441 0.02957554 0.03043508]
 [0.05145971 0.0108776  0.02936013 0.03039744]
 [0.05041537 0.01064032 0.02895056 0.02973108]
 [0.05024587 0.01044897 0.02863919 0.02955063]
 [0.0496251  0.01026725 0.02826853 0.02924338]
 [0.04955918 0.01010184 0.02801905 0.02921576]]"
test_losses_history,"[[0.37450772 0.07363717 0.0995713  0.25588716]
 [0.15846343 0.07542169 0.07947597 0.13284385]
 [0.1227102  0.06710483 0.07570427 0.09430033]
 [0.10046245 0.05758198 0.0690211  0.07695453]
 [0.09140504 0.04743717 0.05919151 0.06694236]
 [0.08230187 0.03867737 0.05363212 0.06062036]
 [0.07837683 0.03382143 0.0511615  0.05690628]
 [0.07483453 0.03024153 0.04831229 0.05325315]
 [0.07226169 0.02727887 0.04646987 0.05069238]
 [0.07480273 0.02454714 0.04466701 0.05074892]
 [0.07101776 0.02244451 0.04305981 0.04716726]
 [0.06704373 0.0205313  0.04170074 0.04359266]
 [0.06521746 0.01918403 0.04065097 0.04320511]
 [0.06603523 0.01780185 0.03951269 0.04193291]
 [0.06180454 0.01687893 0.03811539 0.039331  ]
 [0.0613455  0.01591332 0.03716511 0.0383528 ]
 [0.06333511 0.01554109 0.03722396 0.03894523]
 [0.05871732 0.01425084 0.03508545 0.03715297]
 [0.05970817 0.01374147 0.03369396 0.03619107]
 [0.05704908 0.01310354 0.03265295 0.03494436]
 [0.05818792 0.01264892 0.0327572  0.03536773]
 [0.05531003 0.01219683 0.03106331 0.03397903]
 [0.05481111 0.01176127 0.03011492 0.0334891 ]
 [0.05408135 0.01152392 0.02958272 0.03304925]
 [0.05322048 0.0112514  0.02868808 0.03257371]]"
